College,Average Package,Highest Package
Indian Institute of Information Technology, Allahabad,2578000,12100000
Indian Institute of Information Technology, Lucknow,3371000,14500000
Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior,2056000,6500000
Indian Institute of Information Technology Design and Manufacturing, Jabalpur,1927000,11000000
Indian Institute of Information Technology, Pune,1360000,4300000
Indian Institute of Information Technology, Tiruchirappalli,1000000,4600000
Indian Institute of Information Technology, Bhopal,1677000,8500000
Indian Institute of Information Technology, Sri City,1844000,12000000
Indian Institute of Information Technology, Ranchi,1214000,2800000
Indian Institute of Information Technology, Kottayam,1191000,5000000
Indian Institute of Information Technology, Bhagalpur,957000,8300000
Indian Institute of Information Technology Design and Manufacturing, Chennai,1419000,3164200
Indian Institute of Information Technology, Raichur,1800000,4500000
Indian Institute of Information Technology, Kalyani,1072000,4400000
Indian Institute of Information Technology, Surat,1399000,7400000
Indian Institute of Information Technology, Nagpur,1311000,4700000
Indian Institute of Information Technology, Una,1102000,3000000
Indian Institute of Information Technology, Vadodara,1200000,5630000
Indian Institute of Information Technology, Agartala,1800000,6000000
Indian Institute of Information Technology, Sonepat,1587000,4000000
Indian Institute of Information Technology, Kota,1309000,6500000
Indian Institute of Information Technology, Guwahati,1675000,7100000
Indian Institute of Information Technology, Dharwad,1190000,7194000
Indian Institute of Information Technology Design and Manufacturing, Kurnool,820000,3250000
Indian Institute of Information Technology, Manipur (Imphal),870000,4000000
